City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Klaksvik,FO,62.2266,-6.589,50.92,97,100,12.01,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,74.57,78,100,10.31,light rain
28,Puerto Escondido,MX,15.85,-97.0667,80.4,76,100,3.91,overcast clouds
29,Evensk,RU,61.95,159.2333,30.61,44,19,0.25,few clouds
30,Smithers,CA,54.7804,-127.1743,44.92,81,75,3.44,light rain
31,Verkhnyaya Inta,RU,65.9811,60.3094,33.01,79,83,20.29,light snow
32,Mataura,NZ,-46.1927,168.8643,55.47,35,39,6.29,scattered clouds
33,Arraial Do Cabo,BR,-22.9661,-42.0278,68.45,67,100,8.41,overcast clouds
34,Hobart,AU,-42.8794,147.3294,61.05,72,75,1.01,broken clouds
35,Mezen,RU,65.8522,44.24,35.31,92,100,4.85,overcast clouds
36,Punta Arenas,CL,-53.15,-70.9167,39.22,70,0,12.66,clear sky
37,Komsomolskiy,UZ,40.4272,71.7189,51.15,76,52,0.0,broken clouds
38,Qaanaaq,GL,77.484,-69.3632,18.43,72,72,9.4,broken clouds
39,Porbandar,IN,21.6422,69.6093,80.58,94,20,4.61,haze
40,Arlit,NE,18.7369,7.3853,80.13,14,0,8.72,clear sky
41,Barrow,US,71.2906,-156.7887,30.22,80,90,17.27,light snow
42,Luderitz,NA,-26.6481,15.1594,55.81,58,25,12.41,scattered clouds
43,Iqaluit,CA,63.7506,-68.5145,35.33,87,90,15.99,overcast clouds
44,Tiksi,RU,71.6872,128.8694,26.1,67,100,14.23,overcast clouds
45,San Cristobal,VE,7.7669,-72.225,69.98,93,96,2.33,overcast clouds
46,Nanortalik,GL,60.1432,-45.2371,37.13,63,0,7.16,clear sky
47,Sao Filipe,CV,14.8961,-24.4956,79.47,80,54,4.38,broken clouds
48,Meulaboh,ID,4.1363,96.1285,83.86,68,100,1.88,overcast clouds
49,Nikolskoye,RU,59.7035,30.7861,51.87,71,100,7.07,light rain
50,Sambava,MG,-14.2667,50.1667,71.37,79,53,13.78,broken clouds
51,Sitka,US,57.0531,-135.33,46.29,76,90,18.41,moderate rain
52,Talnakh,RU,69.4865,88.3972,27.0,91,100,3.87,overcast clouds
53,Ust-Kut,RU,56.7938,105.7672,36.36,94,100,7.85,overcast clouds
54,Shelburne,CA,44.0787,-80.2041,61.25,97,78,7.85,broken clouds
55,Cabo San Lucas,MX,22.8909,-109.9124,87.1,69,4,6.22,clear sky
56,Mildura,AU,-34.2,142.15,85.06,11,12,11.5,few clouds
57,Cedar City,US,37.6775,-113.0619,50.97,80,1,16.11,clear sky
58,Cherskiy,RU,68.75,161.3,11.7,92,69,2.86,broken clouds
59,Arica,CL,-18.475,-70.3042,61.03,82,90,5.75,overcast clouds
60,Geraldton,AU,-28.7667,114.6,68.41,37,1,17.27,clear sky
61,Hermanus,ZA,-34.4187,19.2345,58.8,86,7,13.62,light rain
62,Matagami,CA,49.7502,-77.6328,53.71,94,1,3.44,clear sky
63,Luwuk,ID,-0.9516,122.7875,87.73,60,11,6.02,few clouds
64,Basco,PH,20.4487,121.9702,83.62,80,53,18.01,broken clouds
65,Marsa Matruh,EG,31.3525,27.2453,68.85,72,0,4.88,clear sky
66,Mandalgovi,MN,45.7625,106.2708,30.34,83,100,26.31,overcast clouds
67,Mar Del Plata,AR,-38.0023,-57.5575,53.13,76,0,7.0,clear sky
68,Ballina,AU,-28.8667,153.5667,82.58,69,0,17.27,clear sky
69,Torbay,CA,47.6666,-52.7314,46.58,90,90,35.68,light rain
70,Doka,SD,13.5167,35.7667,74.12,84,29,4.59,scattered clouds
71,Okhotsk,RU,59.3833,143.3,33.48,65,5,13.4,clear sky
72,Grand Gaube,MU,-20.0064,57.6608,70.2,76,4,5.01,clear sky
73,Chokurdakh,RU,70.6333,147.9167,20.07,96,100,5.06,overcast clouds
74,Salihorsk,BY,52.7876,27.5415,35.1,90,0,6.51,clear sky
75,Tasiilaq,GL,65.6145,-37.6368,35.76,82,100,3.67,overcast clouds
76,Atuona,PF,-9.8,-139.0333,77.68,76,10,13.29,clear sky
77,East London,ZA,-33.0153,27.9116,62.89,72,78,12.53,broken clouds
78,Norman Wells,CA,65.282,-126.8329,33.84,93,75,6.91,broken clouds
79,Vaini,TO,-21.2,-175.2,82.56,83,20,5.75,few clouds
80,Yellowknife,CA,62.456,-114.3525,39.42,95,75,4.61,broken clouds
81,Rzhev,RU,56.2624,34.3282,34.0,80,14,4.61,few clouds
82,Novopavlovka,RU,51.2172,109.2091,38.21,60,100,9.71,overcast clouds
83,Carnarvon,AU,-24.8667,113.6333,69.87,46,0,23.02,clear sky
84,Porto Novo,BJ,6.4965,2.6036,80.42,91,100,4.12,light rain
85,Fernandez,AR,-27.9204,-63.8935,67.23,45,60,5.01,broken clouds
86,Cockburn Town,TC,21.4612,-71.1419,82.6,77,4,12.53,clear sky
87,Cape Town,ZA,-33.9258,18.4232,57.61,88,40,6.91,scattered clouds
88,Chumikan,RU,54.7183,135.315,48.81,47,32,17.96,scattered clouds
89,Taoudenni,ML,22.6783,-3.9836,85.68,11,57,3.04,broken clouds
90,Ribeira Grande,PT,38.5167,-28.7,69.55,63,67,6.53,broken clouds
91,Aracati,BR,-4.5617,-37.7697,79.7,75,95,13.85,overcast clouds
92,Kapaa,US,22.0752,-159.319,82.38,69,40,5.01,scattered clouds
93,Tazovskiy,RU,67.4667,78.7,34.09,88,100,14.45,overcast clouds
94,Kavaratti,IN,10.5669,72.642,82.35,78,100,9.35,light rain
95,Bredasdorp,ZA,-34.5322,20.0403,58.32,77,29,11.5,scattered clouds
96,Baculin,PH,7.4525,126.5842,84.61,68,100,4.9,moderate rain
97,Hovd,MN,48.0056,91.6419,35.83,32,3,0.96,clear sky
98,Jonava,LT,55.0833,24.2833,32.11,86,0,2.3,clear sky
99,Monterey,US,36.2505,-121.2516,54.72,77,0,8.61,clear sky
100,Saskylakh,RU,71.9167,114.0833,11.41,98,90,1.72,overcast clouds
101,Traverse City,US,44.7631,-85.6206,65.84,96,40,0.0,mist
102,Novobiryusinskiy,RU,56.9578,97.7076,37.02,97,100,13.11,light rain
103,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,3.44,broken clouds
104,Constitucion,CL,-35.3333,-72.4167,50.4,80,13,7.2,few clouds
105,Padang,ID,-0.9492,100.3543,84.25,71,82,4.16,broken clouds
106,Kadoshkino,RU,54.0257,44.4191,34.97,79,1,4.54,clear sky
107,Tezu,IN,27.9167,96.1667,85.51,55,8,2.64,clear sky
108,San Rafael,AR,-34.6177,-68.3301,54.32,73,100,1.57,overcast clouds
109,Folkestone,GB,51.0833,1.1833,55.71,96,7,1.99,clear sky
110,Assiniboia,CA,49.6334,-105.9845,55.31,62,100,5.75,overcast clouds
111,Kamaishi,JP,39.2667,141.8833,70.75,74,96,7.72,overcast clouds
112,Alice Springs,AU,-23.7,133.8833,98.15,9,3,24.16,clear sky
113,Narsaq,GL,60.9167,-46.05,35.82,47,0,7.45,clear sky
114,Pevek,RU,69.7008,170.3133,25.77,76,100,0.6,overcast clouds
115,Souillac,MU,-20.5167,57.5167,70.18,88,40,9.22,light rain
116,Providencia,MX,28.7167,-111.5833,90.48,59,3,11.14,clear sky
117,Newport,GB,51.5877,-2.9984,59.77,91,100,3.36,overcast clouds
118,Jumla,NP,29.2747,82.1838,64.53,60,41,1.79,scattered clouds
